Bangla,Chittagong
কোন দিকে সূর্য ওঠে?,সুজ্জু হন দি ওডে দে?
আপনার কি পাওয়ার ব্যাংক আছে?,অনত্তে কি পাওয়ার ব্যাংক আছে না?
ড্রয়ারে আছে।,ড্রয়ারত আছে ।
গ্রামের দুপুর কেমন কাটে?,গেরামত দুইজ্জে কেন গরি যায় দে?
ড্রিম জব কি?,ড্রিম জব কি?
"মসজিদের মিনার থেকে ভেসে আসে, চারিদিক শান্ত হয়","মসদুর মিনারত্তুন ভাঈ আইয়ি,চাইরি ডাহদি নিজেপ অয়"
পুরানা পল্টনে।,পুরন পল্টনত ।
নতুন কি স্কিল নিছস?,নোয়া কি স্কিল লইয়ুচ দে?
কিভাবে বাগান করেন?,বাগান কেন গরি গরন দে?
নতুন কোন হবি ধরছস?,নোয়ি কি হাম/হবি দইজ্জুস দে?
খাবার রেডি?,হানা রেডি?
আপনার কি বাড়িতে হাতের কাজ আছে?,অনর ঘরত কি আতর হাম আছে না?
রান্নার টিপস আর শপিং অভিজ্ঞতা,রান্নার টেকনিক ইয়ের শপিং অভিজ্ঞতা
শীতকালে কি পিঠা বানান?,শীতকালে কি পিডে বানন দে?
লাউয়ের কোসা ফেলেছেন?,বাইলে হদুর ছোলা ফালাইয়ুন না ?
ঠাকুরমার রেসিপিতে পিঠা বানাই,ঠাকুমার ডইল্লে পিডে বানাইর
কপি করা হয়েছে?,কপি গরা অইয়ি?
"হ্যাঁ, সবজির সাথে","অয়অ,তরহারির লয়"
আলুর ঝাল বেশি।,আলুত ঝাল বেশি ।
মাদ্রাসার বই কই?,মাদ্রাসার বই হডে?
"হ্যাঁ, সিরিয়াল দেখব","অয়অ, সিরিয়াল চাইয়ুম"
কার সাথে বেড়াতে যান?,হার লয় বেড়ায়তু যন দে?
আপনি কি নিয়মিত স্ক্যান করেন?,অনে কি পইত্তেন স্ক্যান গরন না?
রঙের মিল রেখে,রংঅর মিল রাহিয়েরে
মহাস্থানগড়ে কি করেন?,মহাস্থানগড়ত কি গরন দে?
কোন দিন ক্লাস নিবেন?,হন দিন ক্লাস লইবেন?
পূজার ঘরে,পূজর ঘরত
উনার হাতের পোলাও খেতে সবাই আসে,ইবের আথর পোলাও হাইতু বেজ্ঞুনে আইয়ি
কোথায় বসে পড়াশোনা করস?,হনডে বইয়েরে পড়া পরছ দে?
আপনার কি বাড়িতে জবা গাছ আছে?,অনর ঘরত কি জবা গাছ আছে না?
বড় দাওয়াতে কাচ্চি-পোলাওয়ের সাথে,বড় দঅত কাচ্চি-পোলঅর লয়
ক্যান্টিনে যাবি?,কেন্টিনুত যাবিনি?
শরিয়ত মোতাবেক নয়।,শরিয়তর মত ন।
দলিল লিখছি।,দলিল লেহির ।
মিস্ত্রি দেখে গেছে।,মিস্ত্রি চায় গেইয়ি ।
ছোট ছোট করে,গুরঅগুরঅ গরি
কোন গল্প শুনতে ভালোলাগে?,হন ডইল্লে গল্প ওইনতু গম লাগে দে?
আঁশ ছাড়াচ্ছি।,আশ ছাড়ির ।
কোথায় স্ক্যানিং করাবেন?,স্ক্যানিং হডে গরিবেন দে?
নতুন পদ্ধতিতে ছাত্রদের পড়ান,নোয়া পদ্ধিত পুয়া অলরে পড়ন
